Name,Age,Sex,Size,Color,Characteristics,Coat Length,House Trained,Health,State,Email,Phone,Profile
Celeste (The Celestial Kittens Mom),Adult,Female,Medium,Tabby (Gray / Blue / Silver),,Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",adopt@ophrescue.org,+17039696859,https://www.petfinder.com/cat/celeste-the-celestial-kittens-mom-72591757/dc/washington/operation-paws-for-homes-va600/
Benny,Adult,Male,Large,Tabby (Gray / Blue / Silver),"Affectionate, Athletic, Brave, Couch, Dignified, Friendly, Smart, Independent, Loyal, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",kittenrescuer75@gmail.com,+17039696859,https://www.petfinder.com/cat/benny-73755140/dc/washington/metro-ferals-md-md307/
Ashton,Kitten,Male,Medium,Gray / Blue / Silver,"Brave, Athletic, Funny, Independent, Playful, Friendly, Smart",Short,Yes,Vaccinations up to date.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/ashton-73754983/dc/washington/metro-ferals-md-md307/
Hansel,Kitten,Male,Medium,Black & White / Tuxedo,"Affectionate, Athletic, Brave, Curious, Funny, Loves, Playful, Friendly",Short,Yes,Vaccinations up to date.,"Washington, DC",kittenrescuer75@gmail.com,+17039696859,https://www.petfinder.com/cat/hansel-73013431/dc/washington/metro-ferals-md-md307/
Mika,Young,Male,Large,Gray / Blue / Silver,"Affectionate, Athletic, Brave, Friendly, Loves, Playful",Short,Yes,Vaccinations up to date.,"Washington, DC",david@metroferals.org,+17039696859,https://www.petfinder.com/cat/mika-72496632/dc/washington/metro-ferals-md-md307/
Bob,Adult,Male,Large,,"Affectionate, Brave, Dignified, Friendly, Gentle, Loves, Smart, Independent, Friendly And Loving",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",kittenrescuer75@gmail.com,+17039696859,https://www.petfinder.com/cat/bob-72411922/dc/washington/metro-ferals-md-md307/
Dolley Madison,Kitten,Female,Medium,,"Affectionate, Brave, Curious, Funny, Independent, Friendly, Playful",Short,Yes,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/dolley-madison-72410597/dc/washington/metro-ferals-md-md307/
February,Adult,Female,Large,Dilute Calico,"Affectionate, Curious, Protective, Independent, Playful",Short,Yes,"Vaccinations up to date, spayed / neutered.","washington, DC",doe.eyes.adoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/february-72342195/dc/washington/doe-eyes-animal-sanctuary-and-rescue-inc-va855/
Buttercup,Kitten,Female,Small,Tabby (Gray / Blue / Silver),"Curious, Playful",,Yes,,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/buttercup-73834146/dc/washington/final-victory-animal-rescue-sc497/
Tux,Kitten,Male,Small,Black & White / Tuxedo,"Affectionate, Curious, Playful",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/tux-73833972/dc/washington/final-victory-animal-rescue-sc497/
Callie,Kitten,Female,Small,Calico,"Affectionate, Curious, Playful",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/callie-73833826/dc/washington/final-victory-animal-rescue-sc497/
Maple,Kitten,Female,Small,Calico,"Affectionate, Curious",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/maple-73833719/dc/washington/final-victory-animal-rescue-sc497/
Moob,Adult,Male,Medium,Gray & White,"Gentle, Quiet, Affectionate",,Yes,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/moob-73832665/dc/washington/final-victory-animal-rescue-sc497/
Cheeto,Kitten,Male,Small,Tabby (Orange / Red),"Curious, Gentle",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/cheeto-73833018/dc/washington/final-victory-animal-rescue-sc497/
Cloudy,Adult,Male,Medium,Gray & White,"Affectionate, Gentle, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/cloudy-73832815/dc/washington/final-victory-animal-rescue-sc497/
Moob,Adult,Male,Medium,Gray & White,"Gentle, Quiet, Affectionate",,Yes,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/moob-73832661/dc/washington/final-victory-animal-rescue-sc497/
Reese,Adult,Male,Medium,Gray & White,"Quiet, Gentle",,Yes,Spayed / neutered.,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/reese-73832552/dc/washington/final-victory-animal-rescue-sc497/
Girlboss,Kitten,Female,Small,Tabby (Brown / Chocolate),"Affectionate, Playful, Friendly",,,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/girlboss-73832428/dc/washington/final-victory-animal-rescue-sc497/
Fancy,Adult,Female,Medium,Black & White / Tuxedo,"Affectionate, Gentle, Smart, Quiet, Loves, Loyal, Curious, Couch, Brave",Short,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/fancy-73822714/dc/washington/final-victory-animal-rescue-sc497/
Olivia,Senior,Female,Medium,,,,,Spayed / neutered.,"Washington, DC",,+17039696859,https://www.petfinder.com/cat/olivia-73819982/dc/washington/humane-rescue-alliance-foster-homes-dc03/
Bosley,Kitten,Male,Small,Black & White / Tuxedo,"Affectionate, Playful, Curious",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/bosley-73817089/dc/washington/final-victory-animal-rescue-sc497/
Luciana,Young,Male,Small,Black & White / Tuxedo,"Affectionate, Playful, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/luciana-73816947/dc/washington/final-victory-animal-rescue-sc497/
Customeow Service,Kitten,Female,Small,Orange & White,"Affectionate, Curious, Playful",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/customeow-service-73815628/dc/washington/final-victory-animal-rescue-sc497/
Cat GPT,Kitten,Male,Small,Tabby (Orange / Red),"Affectionate, Curious, Playful",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/cat-gpt-73813849/dc/washington/final-victory-animal-rescue-sc497/
Tilt-a-Whirl,Kitten,Male,Small,Tabby (Orange / Red),"Affectionate, Playful, Friendly",,Yes,,"Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/tilt-a-whirl-73813794/dc/washington/final-victory-animal-rescue-sc497/
Lacey,Young,Female,Medium,Calico,"Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Washington, DC",fvaradoptions@gmail.com,+17039696859,https://www.petfinder.com/cat/lacey-73806238/dc/washington/final-victory-animal-rescue-sc497/
